transaction_id,customer_id,transaction_amount,currency,country_code,is_international,customer_segment,transaction_date,account_age_years,annual_volume
TXN001,CUST001,15000.00,USD,US,N,PREMIUM,2024-01-15,7,250000
TXN002,CUST002,7500.00,EUR,DE,Y,STANDARD,2024-01-15,3,80000
TXN003,CUST003,3200.00,USD,US,N,NEW,2024-01-15,0,15000
TXN004,CUST004,8500.00,GBP,IR,Y,STANDARD,2024-01-16,2,60000
TXN005,CUST005,500.00,USD,US,N,PREMIUM,2024-01-16,10,500000
TXN006,CUST006,25000.00,JPY,JP,Y,STANDARD,2024-01-16,4,120000
TXN007,CUST007,6000.00,USD,US,N,STANDARD,2024-01-17,1,40000
TXN008,CUST008,12000.00,EUR,FR,Y,PREMIUM,2024-01-17,6,300000
TXN009,CUST009,950.00,USD,US,N,NEW,2024-01-17,0,5000
TXN010,CUST010,4800.00,AUD,SY,Y,STANDARD,2024-01-18,1,25000
TXN011,CUST011,50000.00,USD,US,N,PREMIUM,2024-01-18,12,1000000
TXN012,CUST012,2200.00,CAD,CA,Y,NEW,2024-01-18,0,8000
TXN013,CUST013,9999.99,USD,US,N,STANDARD,2024-01-19,5,150000
TXN014,CUST014,7777.77,EUR,NK,Y,STANDARD,2024-01-19,3,90000
TXN015,CUST015,1500.00,USD,US,N,PREMIUM,2024-01-19,8,200000
